Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
12,Exit long,2025-12-29 10:33,Exit Long,9885.7,1,9877.7,8,0.08,8,0.08,0,0.00,64,2.56
12,Entry long,2025-12-29 10:15,Long,9877.7,1,9877.7,8,0.08,8,0.08,0,0.00,64,2.56
13,Exit long,2025-12-29 11:05,Exit Long,9881.7,1,9873.7,8,0.08,8,0.08,-1.4,-0.01,72,2.88
13,Entry long,2025-12-29 10:50,Long,9873.7,1,9873.7,8,0.08,8,0.08,-1.4,-0.01,72,2.88
14,Exit short,2025-12-29 12:01,Exit Short,9893.5,1,9885.5,-8,-0.08,7.8,0.08,-8,-0.08,64,2.56
14,Entry short,2025-12-29 11:14,Short,9885.5,1,9885.5,-8,-0.08,7.8,0.08,-8,-0.08,64,2.56
15,Exit short,2025-12-29 12:21,Exit Short,9890.5,1,9898.5,8,0.08,8,0.08,-0.7,-0.01,72,2.88
15,Entry short,2025-12-29 12:12,Short,9898.5,1,9898.5,8,0.08,8,0.08,-0.7,-0.01,72,2.88
16,Exit long,2025-12-29 12:46,Exit Long,9873.5,1,9881.5,-8,-0.08,0.9,0.01,-8,-0.08,64,2.56
16,Entry long,2025-12-29 12:38,Long,9881.5,1,9881.5,-8,-0.08,0.9,0.01,-8,-0.08,64,2.56
